simulation,G1,G2,correlation,distance
2,0.1000,20.0000,0.277230,0.259446
2,0.1000,25.0000,0.154908,0.285777
2,0.1000,30.0000,0.191105,0.289284
2,0.2000,0.1000,0.088844,0.269121
2,0.2000,0.2000,0.081819,0.270071
2,0.2000,0.3000,0.134728,0.268679
2,0.2000,0.4000,0.199652,0.260868
2,0.2000,0.5000,0.203590,0.261039
2,0.2000,0.6000,0.156552,0.261831
2,0.2000,0.7000,0.179759,0.260262
2,0.2000,0.8000,0.193239,0.257056
2,0.2000,0.9000,0.216742,0.259578
2,0.2000,1.0000,0.242679,0.257306
2,0.2000,2.0000,0.347527,0.251348
2,0.2000,3.0000,0.331031,0.246428
2,0.2000,4.0000,0.313369,0.249551
2,0.2000,5.0000,0.357583,0.242406
2,0.2000,10.0000,0.257673,0.261314
2,0.2000,15.0000,0.267571,0.260731
2,0.2000,20.0000,0.262034,0.272934
2,0.2000,25.0000,0.231748,0.275743
2,0.2000,30.0000,0.186445,0.305299
2,0.3000,0.1000,0.135008,0.266338
2,0.3000,0.2000,0.156292,0.259115
2,0.3000,0.3000,0.169331,0.259143
2,0.3000,0.4000,0.147806,0.255545
2,0.3000,0.5000,0.209077,0.259331
2,0.3000,0.6000,0.174194,0.252713
2,0.3000,0.7000,0.238800,0.258313
2,0.3000,0.8000,0.220898,0.253903
2,0.3000,0.9000,0.194794,0.250667
2,0.3000,1.0000,0.239346,0.250760
2,0.3000,2.0000,0.315453,0.241300
2,0.3000,3.0000,0.307420,0.245079
2,0.3000,4.0000,0.288471,0.243901
2,0.3000,5.0000,0.300167,0.257759
2,0.3000,10.0000,0.353650,0.258444
2,0.3000,15.0000,0.279364,0.256651
2,0.3000,20.0000,0.242822,0.259526
2,0.3000,25.0000,0.203625,0.276622
2,0.3000,30.0000,0.164437,0.287769
2,0.4000,0.1000,0.210502,0.260066
2,0.4000,0.2000,0.184166,0.257252
2,0.4000,0.3000,0.205898,0.249279
2,0.4000,0.4000,0.228201,0.250997
2,0.4000,0.5000,0.212144,0.247719
2,0.4000,0.6000,0.152033,0.243517
2,0.4000,0.7000,0.206849,0.249320
2,0.4000,0.8000,0.250277,0.242494
2,0.4000,0.9000,0.286017,0.249606
2,0.4000,1.0000,0.286725,0.235343
2,0.4000,2.0000,0.368563,0.245997
2,0.4000,3.0000,0.258207,0.237565
2,0.4000,4.0000,0.339931,0.242352
2,0.4000,5.0000,0.239771,0.242930
2,0.4000,10.0000,0.309893,0.269277
2,0.4000,15.0000,0.242556,0.264855
2,0.4000,20.0000,0.231049,0.270083
2,0.4000,25.0000,0.248923,0.260059
2,0.4000,30.0000,0.146079,0.323259
2,0.5000,0.1000,0.175091,0.251929
2,0.5000,0.2000,0.191689,0.251633
2,0.5000,0.3000,0.266217,0.235603
2,0.5000,0.4000,0.217232,0.243263
2,0.5000,0.5000,0.244601,0.230836
2,0.5000,0.6000,0.268585,0.238012
2,0.5000,0.7000,0.264360,0.238920
2,0.5000,0.8000,0.133976,0.247736
2,0.5000,0.9000,0.248064,0.241063
2,0.5000,1.0000,0.242706,0.244096
2,0.5000,2.0000,0.372237,0.235226
2,0.5000,3.0000,0.221797,0.245060
2,0.5000,4.0000,0.325962,0.237929
2,0.5000,5.0000,0.341304,0.246772
2,0.5000,10.0000,0.382006,0.259562
2,0.5000,15.0000,0.405888,0.242365
2,0.5000,20.0000,0.290594,0.261022
2,0.5000,25.0000,0.277680,0.272510
2,0.5000,30.0000,0.316013,0.256121
2,0.6000,0.1000,0.223177,0.245094
2,0.6000,0.2000,0.225708,0.234977
2,0.6000,0.3000,0.237030,0.244195
2,0.6000,0.4000,0.235343,0.235216
2,0.6000,0.5000,0.248453,0.233078
2,0.6000,0.6000,0.236693,0.222794
2,0.6000,0.7000,0.270891,0.234907
2,0.6000,0.8000,0.216572,0.242259
2,0.6000,0.9000,0.206616,0.226692
2,0.6000,1.0000,0.259411,0.221094
2,0.6000,2.0000,0.342882,0.244450
2,0.6000,3.0000,0.364312,0.243256
2,0.6000,4.0000,0.301080,0.230820
2,0.6000,5.0000,0.384967,0.241318
2,0.6000,10.0000,0.372581,0.248214
2,0.6000,15.0000,0.356830,0.235641
2,0.6000,20.0000,0.329913,0.252965
2,0.6000,25.0000,0.175806,0.282585
2,0.6000,30.0000,0.355297,0.245762
2,0.7000,0.1000,0.264210,0.241229
2,0.7000,0.2000,0.193531,0.231141
2,0.7000,0.3000,0.202441,0.234312
2,0.7000,0.4000,0.263785,0.213768
2,0.7000,0.5000,0.302703,0.218921
2,0.7000,0.6000,0.190747,0.232013
2,0.7000,0.7000,0.241553,0.225846
2,0.7000,0.8000,0.232370,0.227059
2,0.7000,0.9000,0.265926,0.223920
2,0.7000,1.0000,0.326667,0.199757
2,0.7000,2.0000,0.362266,0.238161
2,0.7000,3.0000,0.369900,0.225109
2,0.7000,4.0000,0.327700,0.240982
2,0.7000,5.0000,0.366051,0.232669
2,0.7000,10.0000,0.338779,0.267290
2,0.7000,15.0000,0.328039,0.255395
2,0.7000,20.0000,0.291203,0.261692
2,0.7000,25.0000,0.282534,0.270812
2,0.7000,30.0000,0.225813,0.295722
2,0.8000,0.1000,0.255146,0.228238
2,0.8000,0.2000,0.208820,0.257411
2,0.8000,0.3000,0.236743,0.243102
2,0.8000,0.4000,0.246600,0.235144
2,0.8000,0.5000,0.293579,0.217629
2,0.8000,0.6000,0.174097,0.235156
2,0.8000,0.7000,0.244816,0.233175
2,0.8000,0.8000,0.258575,0.266735
2,0.8000,0.9000,0.273862,0.235612
2,0.8000,1.0000,0.308458,0.218555
2,0.8000,2.0000,0.355108,0.233391
2,0.8000,3.0000,0.413861,0.244605
2,0.8000,4.0000,0.370328,0.245662
2,0.8000,5.0000,0.309068,0.244436
2,0.8000,10.0000,0.432555,0.240832
2,0.8000,15.0000,0.303285,0.242549
2,0.8000,20.0000,0.337595,0.257799
2,0.8000,25.0000,0.337702,0.239539
2,0.8000,30.0000,0.292269,0.249430
2,0.9000,0.1000,0.211590,0.246313
2,0.9000,0.2000,0.245857,0.236294
2,0.9000,0.3000,0.297070,0.227941
2,0.9000,0.4000,0.279080,0.233560
2,0.9000,0.5000,0.238087,0.221855
2,0.9000,0.6000,0.212792,0.241429
2,0.9000,0.7000,0.206954,0.261795
2,0.9000,0.8000,0.308511,0.225517
2,0.9000,0.9000,0.237920,0.258138
2,0.9000,1.0000,0.289235,0.267853
2,0.9000,2.0000,0.299417,0.245129
2,0.9000,3.0000,0.301849,0.243750
2,0.9000,4.0000,0.430087,0.223469
2,0.9000,5.0000,0.312296,0.255682
2,0.9000,10.0000,0.371317,0.234231
2,0.9000,15.0000,0.326458,0.244865
2,0.9000,20.0000,0.248243,0.259797
2,0.9000,25.0000,0.322863,0.249284
2,0.9000,30.0000,0.246850,0.263349
2,1.0000,0.1000,0.252221,0.242517
2,1.0000,0.2000,0.273982,0.246903
2,1.0000,0.3000,0.220444,0.246886
2,1.0000,0.4000,0.220668,0.218125
2,1.0000,0.5000,0.263680,0.243526
2,1.0000,0.6000,0.191734,0.251686
2,1.0000,0.7000,0.268280,0.252308
2,1.0000,0.8000,0.288958,0.224526
2,1.0000,0.9000,0.321189,0.243801
2,1.0000,1.0000,0.321107,0.232235
2,1.0000,2.0000,0.255668,0.284245
2,1.0000,3.0000,0.395865,0.237285
2,1.0000,4.0000,0.284472,0.242152
2,1.0000,5.0000,0.307169,0.244361
2,1.0000,10.0000,0.282662,0.256981
2,1.0000,15.0000,0.383366,0.234818
2,1.0000,20.0000,0.308688,0.248269
